"","x"
"103.92018_956.7",80
"104.92847_956.7",120
"106.92789_946.4",83
"107.05018_102.6",2900
"108.05367_102.6",2894
"108.89956_947.6",63
"110.89595_947.6",49
"114.9899_947",147
"116.92841_948.8",113
"117.9273_947.6",65
"117.92706_925.2",77
"119.91544_956.7",42
"119.91545_958.5",84
"122.90657_27.2",175
"123.90204_954.9",72
"124.89433_948.2",2868
"124.89435_947.6",27
"129.0559_87.1",2891
"129.93614_953",33
"129.97567_24.2",145
"130.05928_87.1",2902
"130.06601_218.9",2901
"130.96613_20.6",133
"131.07152_143",2899
"132.86776_950",61
"132.92353_915.5",40
"132.92348_848.2",91
"134.8942_950",45
"135.90225_955.5",131
"136.89279_949.4",30
"137.02483_237.7",2898
"137.87264_950.6",86
"138.02761_237.7",2900
"138.86982_950.6",49
"139.00721_948.2",47
"139.00701_598.4",74
"139.02945_237.7",153
"140.86846_950.6",103
"144.92363_950.6",31
"145.08697_263.7",2891
"146.92363_945.8",36
"147.92658_945.2",45
"148.91874_945.8",31
"148.93814_945.8",64
"150.05611_126.7",2896
"150.88953_951.2",310
"150.91644_946.4",119
"151.04016_185.5",152
"151.04023_226.7",154
"153.01908_88.7",2890
"154.94756_24.2",2903
"154.97408_945.8",71
"154.97383_21.8",151
"157.01186_24.2",2902
"157.08681_289.8",2902
"157.86307_950.6",113
"158.08253_62.6",2903
"158.0903_289.8",2896
"159.06657_91.5",2898
"159.10241_309.8",2896
"159.97659_913.6",79
"160.8419_34",2902
"160.95638_232.8",2888
"161.94765_950",807
"162.95328_232.8",63
"162.98307_955.5",41
"163.11243_572.9",2905
"164.86362_947",47
"165.04082_614.8",121
"165.05559_167.3",2893
"165.85121_946.4",52
"166.85897_947",1830
"166.9243_949.4",95
"167.03485_198.9",2902
"168.83642_950",54
"169.06593_333.4",2895
"170.833_950.6",41
"170.92079_945.2",70
"171.0665_214",136
"171.10281_251.6",2884
"171.83334_950",56
"172.83065_950.6",290
"172.95783_24.2",166
"173.03031_946.4",110
"173.08148_199.5",2720
"174.05564_218.9",2900
"174.86407_949.4",50
"174.95597_951.2",35
"174.95596_21.2",148
"174.95584_1139.2",37
"176.82608_950",58
"176.9079_951.2",62
"177.0918_348.6",162
"177.12805_273.4",2906
"178.97776_956.7",80
"178.97745_679",155
"179.10739_332.8",2886
"180.86122_950.3",162
"180.97345_20.6",2869
"180.97324_20",35
"180.97316_940.3",2068
"182.85996_950.6",2373
"183.13915_360.1",2894
"183.85616_949.4",34
"185.1183_351.6",2900
"186.11337_176.4",2900
"187.00716_102.8",2901
"187.09778_250.4",2900
"187.0977_251",2898
"187.1167_175.8",2880
"188.01041_102.6",2899
"188.10112_249.8",124
"189.005_102.6",2901
"189.12824_332.2",73
"189.85124_948.2",58
"189.93181_949.4",81
"190.00777_102.6",2898
"190.85785_947.6",78
"190.92848_970",85
"191.10763_283.7",2899
"191.8477_948.8",66
"191.94601_948.8",97
"192.85345_947.6",139
"192.92897_945.2",24
"192.95876_237.1",2830
"192.99022_26.5",56
"193.03049_955.5",59
"193.0501_241.9",105
"193.0882_345",100
"193.09969_312.8",2894
"193.93162_945.8",38
"194.04551_270.4",2899
"194.04569_126.7",2901
"194.08246_394.7",182
"195.04914_126.7",162
"195.08572_394.1",170
"195.10244_335.3",2900
"195.8111_102.8",1327
"196.08761_394.7",57
"196.08764_394.1",25
"196.10618_334.7",2903
"196.9219_945.5",43
"197.00707_30.1",2900
"197.80802_102.6",2901
"197.96327_23.6",144
"199.00693_181.3",2903
"199.09772_265.5",2901
"200.0103_181.9",2898
"200.12939_297.1",2894
"201.02256_215.2",2897
"201.11317_281.9",2903
"201.11326_282.5",2901
"202.85833_883.9",114
"202.91062_946.4",42
"203.12852_262.5",2893
"203.84616_951.8",57
"204.06638_186.7",2901
"204.9464_330.4",2901
"204.97021_21.8",2897
"204.98032_955.5",44
"205.01118_238.3",2901
"205.06956_186.7",2897
"206.82484_951.2",97
"206.87377_946.4",43
"206.94363_331",2896
"206.97314_955.5",166
"207.01225_173.4",157
"207.10256_332.8",2901
"207.931_960.3",429
"207.97614_956.1",48
"208.0152_172.8",160
"208.09804_377.7",94
"208.10594_333.4",2899
"208.8232_951.2",49
"209.10127_378.3",2743
"209.91908_946.4",139
"210.07721_378.9",43
"211.09743_229.8",2895
"213.02285_245.5",2898
"213.11342_288",2897
"213.14954_388.6",2899
"214.02574_245.5",2901
"215.00179_139.4",2894
"215.12863_309.8",2894
"215.16518_413.5",2892
"215.84671_948.8",45
"215.86761_951.2",107
"216.85375_951.8",65
"216.90602_946.4",66
"217.01743_187.9",2900
"217.0537_160.7",2897
