"Module_RTclust","mz","time","TestSignal_plasma_09202017_50RP_014_NEG_matrix_1","TestSignal_plasma_09202017_50RP_015_NEG_matrix_2","TestSignal_plasma_09202017_50RP_016_NEG_matrix_3","TestSignal_plasma_09202017_50RP_017_NEG_NIST_1","TestSignal_plasma_09202017_50RP_018_NEG_NIST_2","TestSignal_plasma_09202017_50RP_019_NEG_NIST_3"
"1_1",264.9992,282.5,9364.2,28633.1,10627,11208,12062,9963.3
"1_8",189.12824,332.2,10193.1,12523.5,9065.2,9970.6,9582.8,9356.4
"1_14",742.20208,369.2,1801.7,3612.8,2176,2784.7,2787.5,2486.2
"1_37",312.16238,497.3,16503,32626.5,16635.9,20938.3,21583.1,22684.6
"1_118",117.92706,925.2,3318608.7,4933339.4,3066881.2,3002490.2,3067720,2901901.8
"1_120",634.88623,939.1,228648.4,255976.7,215530.8,234781.2,230335.6,215334.2
"1_120",385.93821,939.7,67630.5,75816.1,70722.7,67124.3,66853.2,70984.8
"1_120",520.90916,939.7,1023287.6,1082364.8,1006164.2,1020770.5,1002889.6,994550.3
"1_120",602.77793,945.2,8559.7,77017.3,13940.6,7608.2,8932.9,8844.9
"1_120",154.97408,945.8,131144.3,169008.9,120131.3,131293.3,124059.9,119825.8
"1_120",216.90602,946.4,33055.6,136915.9,35965.8,36330.8,39174.7,32691.1
"1_120",190.85785,947.6,53352.4,61929.1,51354.1,53241.9,53647.2,49419.7
"1_120",345.85476,947.6,18290.7,60989.8,19068.9,16469.2,21405.5,18575.8
"1_120",357.91599,947.6,43661,46213.9,41991,42827.8,42043.2,43758
"1_120",189.85124,948.2,123148.3,136410,116964.6,120463.2,125675.7,122378.2
"1_120",430.97186,948.2,86112.2,128135.9,87629.1,104334.1,100394.7,98580.5
"1_120",223.80364,949.4,13648.9,50964.2,16262.8,14298.9,12856.9,11606.5
"1_120",491.82137,949.4,18899.9,25897.5,18834.6,19030.2,18062.3,15610.6
"1_120",216.85375,951.8,206330.1,333198.2,204273.2,203963.5,194780.8,197778.7
"1_120",349.90163,951.8,54660.5,83682.8,53449.8,53605.1,48701.4,53275.7
"1_120",245.85651,953.7,45599.5,56201.9,39477.2,42585.9,38691.9,47809.3
"1_120",488.82667,953.7,54747.6,58406,53708,54793.4,51103.2,57052.9
"1_120",405.93873,954.3,15986.8,39045.5,17638.5,14971.5,17513.9,15102.5
"1_120",162.98307,955.5,91160,100236.1,91602.3,90410.3,90886.1,94765.3
"1_120",204.98032,955.5,121628.9,129291.9,116747.8,120167.9,120970.2,123258.1
"1_120",337.95195,955.5,58014.2,62416.3,57125.1,58472.9,57247.8,60502.8
"1_120",119.91545,958.5,1232385.7,1428696.7,1241027.6,1211585.4,1242169,1181122.8
"1_120",658.7132,961.5,101295.7,106249.9,97612.2,101442.6,100884.7,98492.1
"1_120",661.71053,961.5,73852.5,80200.8,75952.9,75395.4,77323.4,76902.7
"1_121",190.92848,970,1924870.1,2637371.9,1579439.4,1901666.6,1527705.6,1531676.6
