"mz","time","MatchCategory","theoretical.mz","chemical_ID","Name","Formula","MonoisotopicMass","Adduct","ISgroup","Module_RTclust","time.y","mean_int_vec","MD"
264.9992,282.5,"Multiple",264.9982,"Formula_426","1-Methoxy-1H-indole-3-acetonitrile","C11H10N2O",186.079312952,"M+Br","ISgroup_1_1_100","1_1",282.5,13642.9,0.999
264.9992,282.5,"Multiple",264.99674,"Formula_5064","Glycolic acid","C2H4O3",76.016043994,"3M-2H+K","ISgroup_1_1_100","1_1",282.5,13642.9,0.999
264.9992,282.5,"Multiple",264.99894,"Formula_7396","Methimazole","C4H6N2S",114.025168892,"2M-2H+K","ISgroup_1_1_100","1_1",282.5,13642.9,0.999
264.9992,282.5,"Multiple",264.99671,"Formula_7428","1-Isothiocyanato-2-(methylthio)ethane","C4H7NS2",133.001990609,"2M-H","ISgroup_1_1_100","1_1",282.5,13642.9,0.999
264.9992,282.5,"Multiple",264.99973,"Formula_8057","L-2-Aminoethyl seryl phosphate","C5H13N2O6P",228.05112267,"M-2H+K","ISgroup_1_1_100","1_1",282.5,13642.9,0.999
264.9992,282.5,"Multiple",264.99973,"Formula_8057","L-2-Aminoethyl seryl phosphate","C5H13N2O6P",228.05112267,"M+K-2H","ISgroup_1_1_100","1_1",282.5,13642.9,0.999
658.7132,961.5,"Unique",658.70827,"Formula_1487","Tetradecanol","C14H30O",214.229665582,"3M-2H+NH4","ISgroup_1_120_72","1_120",961.5,100996.2,0.713
189.85124,948.2,"Unique",189.85084,"Formula_2663","Hexanal dihexyl acetal","C18H38O2",286.28718046,"2M-3H","ISgroup_1_120_86","1_120",948.2,124173.3,0.851
154.97408,945.8,"Multiple",154.97374,"Formula_5069","Chloromethyl methyl ether","C2H5ClO",80.002892489,"3M+2Cl","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
154.97408,945.8,"Multiple",154.9751,"Formula_5074","Phosphoglycolic acid","C2H5O6P",155.982374404,"3M-3H","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
154.97408,945.8,"Multiple",154.9751,"Formula_5074","Phosphoglycolic acid","C2H5O6P",155.982374404,"2M-2H","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
154.97408,945.8,"Multiple",154.9751,"Formula_5074","Phosphoglycolic acid","C2H5O6P",155.982374404,"M-H","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
349.90163,951.8,"Unique",349.90327,"Formula_5529","3alpha-Acetomethoxy-11alpha-oxo-12-ursen-24-oic acid","C33H50O5",526.36582471,"2M-3H","ISgroup_1_120_91","1_120",951.8,57895.9,0.902
405.93873,954.3,"Unique",405.94162,"Formula_6062","Armillatin","C38H58O6",610.423339588,"2M-3H","ISgroup_1_120_94","1_120",954.3,20043.1,0.939
154.97408,945.8,"Multiple",154.97528,"Formula_6248","Hydroxypropanedioic acid","C3H4O5",120.005873238,"2M+2Cl","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
154.97408,945.8,"Multiple",154.97528,"Formula_6248","Hydroxypropanedioic acid","C3H4O5",120.005873238,"M+Cl","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
204.98032,955.5,"Multiple",204.98045,"Formula_6251","(Chloromethyl)oxirane","C3H5ClO",92.002892489,"2M-2H+Na","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
154.97408,945.8,"Multiple",154.97521,"Formula_7408","Methylmalonic acid","C4H6O4",118.02660868,"M-2H+K","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
154.97408,945.8,"Multiple",154.97521,"Formula_7408","Methylmalonic acid","C4H6O4",118.02660868,"M+K-2H","ISgroup_1_120_98","1_120",945.8,132577.2,0.974
204.98032,955.5,"Multiple",204.97969,"Formula_8052","Methyl 1-(methylsulfinyl)propyl disulfide","C5H12OS3",184.005027076,"M-2H+Na","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
204.98032,955.5,"Multiple",204.97969,"Formula_8052","Methyl 1-(methylsulfinyl)propyl disulfide","C5H12OS3",184.005027076,"M+Na-2H","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
204.98032,955.5,"Multiple",204.98016,"Formula_8081","6-Thiourate","C5H4N4O2S",184.005496082,"M-2H+Na","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
204.98032,955.5,"Multiple",204.98016,"Formula_8081","6-Thiourate","C5H4N4O2S",184.005496082,"M+Na-2H","ISgroup_1_120_99","1_120",955.5,122010.8,0.98
337.95195,955.5,"Multiple",337.95179,"Formula_8452","TG(18:024:1(15Z)22:6(4Z7Z10Z13Z16Z19Z))","C67H116O6",1016.877191444,"M-3H","ISgroup_1_120_96","1_120",955.5,58963.2,0.952
337.95195,955.5,"Multiple",337.95507,"Formula_8626","Glucosamine 6-sulfate","C6H13NO8S",259.036187087,"M+Br","ISgroup_1_120_96","1_120",955.5,58963.2,0.952
