"","TestSignal_plasma_09202017_50RP_014_NEG_matrix_1","TestSignal_plasma_09202017_50RP_015_NEG_matrix_2","TestSignal_plasma_09202017_50RP_016_NEG_matrix_3","TestSignal_plasma_09202017_50RP_017_NEG_NIST_1","TestSignal_plasma_09202017_50RP_018_NEG_NIST_2","TestSignal_plasma_09202017_50RP_019_NEG_NIST_3"
"group","matrix","matrix","matrix","plasma","plasma","plasma"
"107.0502/102.609","5100.1812674955","4194.43262262344","5093.67675307244","160785.897702965","174501.546397296","163162.067464213"
"108.0537/102.609","66.9322984884493","102.59064536685","110.077021304252","12894.3826361031","11503.1438804294","13526.7058641431"
"124.9917/27.463","2045.94369008247","2546.1662084919","1959.30348218297","36228.8038716881","30723.4762145042","32972.708869775"
"129.0559/87.074","5625.75279464901","4667.88588606671","4190.99435865919","1714672.6477791","2358916.46928898","2316220.92412892"
"130.0593/87.074","1284.72073711011","1059.32573001438","627.23722187631","117355.023213404","168107.432164772","117731.499969067"
"130.066/218.858","668.642552551947","421.016542936052","431.266007839777","16220.5121841614","17116.3182064616","15083.5189044538"
"131.0715/143.055","3675.8410062053","2110.28125925555","2369.36216643336","63467.1872890472","60102.0417654756","57648.8994255666"
"133.0142/26.846","3319.16895635661","3445.8357374897","3301.76913109893","59652.4151531738","61917.2723613563","60081.9399348755"
"134.0609/73.961","503.482850938723","153.36048764474","383.864028938115","18957.8479139328","18296.2322023003","20117.6372137702"
"137.0248/237.653","12116.282462056","11107.2938468678","10927.2441152888","2354264.2435744","2388974.34852908","2370353.55058913"
"138.0276/237.653","4626.1973881211","5359.72398291269","4543.91257593884","200305.659575683","197648.815454292","190198.676935727"
"145.087/263.7235","10254.0656694397","11978.6844820022","11719.2676810526","33472.4687927904","32527.9842994474","37579.5462063234"
"150.0561/126.706","453.678884890596","246.500168378557","384.36092217373","15622.4977255818","14857.3949426048","16268.0543888023"
"150.8869/24.998","6274.33722719772","7178.06346817932","7168.23695401198","436985.88399898","440094.243315938","431362.95414684"
"152.8837/24.998","4179.1814063264","3714.7263242276","3841.31413372223","431681.499708669","416814.432769827","440354.978540683"
"153.0191/88.511","21930.120905763","22278.3917584522","22829.2540174945","73599.1969020785","70753.1315735098","87623.5448843316"
"154.8808/24.998","43091.9200410526","48559.3055165072","36099.1028736352","152466.794583966","148553.086896324","149249.969254684"
"154.9476/24.21","42282.5483511746","47625.659479188","38309.5461910234","255858.491487652","264744.053330885","242904.90790018"
"155.8662/28.685","6444.18212649709","7392.53285510373","5780.53528198383","38770.4384095618","40404.7627230644","36801.5703945377"
"157.012/32.979","16002.175159352","9144.65584907055","6978.24543356827","191361.212206036","190056.19456263","182239.400009561"
"157.0119/24.21","16455.6561646812","10341.1647325439","7298.44659769531","136912.262079296","147300.041263196","135280.084712311"
"157.0505/55.391","3010.06031237596","2190.14861488342","2021.96219274994","9569.02076503707","10295.9231057939","8626.56687224371"
"157.0868/289.791","5012.45278795311","4910.13656901824","3236.12618773192","51997.4232067108","61155.0348678847","50525.6636286474"
"158.0825/62.442","745.149628153398","987.284756418016","628.91990781401","7669.06701863316","9495.48720093128","5179.95793379857"
"158.0903/289.795","441.228115219427","912.830758451763","469.076833281556","4292.96316992673","4998.88003834535","5181.18215675354"
"159.1024/309.801","8047.18045583564","9293.1790046352","7964.34555497008","33573.0026419362","37488.8483481954","37002.9509744771"
"160.8419/33.95","256739.807376398","202688.250940796","180726.701537521","1659594.48270692","1727442.975743","1620656.31518678"
"160.9564/232.803","5827.5290455773","5857.28486643915","4482.51083241596","19677.228599737","17600.2710197449","22435.2809534437"
"162.9961/37.243","8246.57637320906","8475.92798846436","8353.90128912842","71226.2368171368","73384.3791452408","72506.9258794643"
"163.1124/573.53","2301.88597191618","1157.99051941636","1396.52253135546","9365.97898018971","11482.7222690582","8722.32692885336"
"165.0556/167.325","1678.31317881087","1437.4884231665","1752.39996752591","58423.2101849498","57745.8112993636","60788.6025143623"
"167.0348/198.851","2703.23034403301","3126.4409816742","2183.72101562725","9098.59591421324","9416.57777987122","8136.03575813511"
"168.0245/28.079","3078.0443837768","1396.37300732099","1788.33238599562","360026.084746559","367790.289898332","374270.749157206"
"168.9492/42.719","14963.4137079982","15593.6459414906","16575.6999703813","83963.8250881516","76535.8192187375","79540.0636909269"
"169.0659/333.446","2110.37241241325","1901.97129093388","1685.03710533618","10557.5173472557","10379.7210695623","11652.0500442935"
"170.8332/26.846","18418.3096226751","16518.5902958196","14482.3274087977","84821.130291282","97530.7122037192","91913.6733880493"
"174.0556/218.862","962.329308976431","746.11127889913","821.551103113437","9429.37004070283","9821.34847033886","8593.11859658814"
"178.0508/74.551","8473.05816206977","7680.94685798448","7673.73291534281","355032.847373286","333820.213956504","350652.397643397"
"179.0564/24.381","11722.4188438115","2935.3389982587","2177.27661319901","286454.851558113","301476.648327537","291713.110439085"
"180.0664/34.202","1996.26924503333","1561.47569417381","1391.5806899078","144515.677523435","135693.418724661","131304.607381966"
"183.1391/360.122","5004.4575655607","4748.41341261541","5345.35717798976","23565.1832062721","21413.1514094566","21303.9516695489"
"185.1183/351.634","9082.00334328811","7353.42227938578","5327.15349884905","49558.015220573","46316.899894489","41056.4816673278"
"186.1134/176.421","6088.17415111244","6616.25876011849","6541.43901000284","29938.9874807634","29047.7734383761","29717.1120747567"
"187.0072/102.616","9424.02699576782","7725.12588828069","3739.73313327132","12261847.3962852","12362482.4597394","11852792.2475822"
"188.0104/102.609","3794.6282786357","3647.36077058965","2554.89100157982","984800.105343303","991360.220512414","976224.483418881"
